,Date,Model Performance,Market Performance
0,2020-05-04,0.0,0.42498171836746756
1,2020-05-05,2.445664659,0.9040573531170715
2,2020-05-06,2.291102754,-0.6979403438802989
3,2020-05-07,0.0,1.1504623615899323
4,2020-05-08,0.8545326333,1.6871501011734846
5,2020-05-11,0.8850099048,0.01331148883882971
6,2020-05-12,2.638890603,-2.0500377108651713
7,2020-05-13,3.656010217,-1.7462684487059787
8,2020-05-14,2.216530459,1.152482269503552
9,2020-05-15,4.837313786,0.39263803680980036
10,2020-05-18,0.0,3.150120473513285
11,2020-05-19,3.894180242,-1.0484408800538914
12,2020-05-20,0.823358866,1.665104312780974
13,2020-05-21,2.156126851,-0.7773563825670182
14,2020-05-22,2.684507864,0.23537312066093108
15,2020-05-26,0.0,1.2289160703107926
16,2020-05-27,0.0,1.4827343010993532
17,2020-05-28,0.0,-0.21079466294262605
18,2020-05-29,2.196075382,0.4812310007822562
19,2020-06-01,2.748115904,0.37512605483673855
20,2020-06-02,2.023892596,0.821080396500995
21,2020-06-03,1.564898677,1.3648963587616247
22,2020-06-04,0.0,-0.33686961032639573
23,2020-06-05,-0.2391073482,2.621170498176606
24,2020-06-08,1.762869104,1.2041591393674889
25,2020-06-09,0.0,-0.7799182648133396
26,2020-06-10,2.813788814,-0.53130787794885
27,2020-06-11,2.058724163,-5.894412157460172
28,2020-06-12,0.0,1.3060857399820103
29,2020-06-15,2.223972002,0.8312207568449193
30,2020-06-16,2.04216907,1.8962430582503575
31,2020-06-17,3.334068004,-0.36002995449221364
32,2020-06-18,0.0,0.0594188515139038
33,2020-06-19,2.599455693,-0.5649463621948292
34,2020-06-22,2.384505676,0.6495057687217143
35,2020-06-23,0.0,0.4307441642665166
36,2020-06-24,1.561699365,-2.5855158736495243
37,2020-06-25,2.506284948,1.095946995898811
38,2020-06-26,1.90878523,-2.4226917788673585
39,2020-06-29,1.66208786,1.468569814393228
40,2020-06-30,3.922576362,1.5409859690034278
